Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,37035,Dummy,E,10,0.457,N2,1,1,47.4,27.2,11.3,3859,71128,71.128,7.2,2542,46873,0.516,0.6589921,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,37035,Dummy,E,10,0.457,N2,2,0,215.9,84.2,11.9,420,11382,11.382,7.6,280,7586,0.083,0.6664794,0.00744,11.362,11.362,0.00372,11.362,,,,,,,,,,,,,,,,,,,,,,,,
1,37035,Dummy,E,10,0.457,CO2,3,0,377,105.3,,,,,,,,,,,,,,,-0.1,2455,71010,71.01,-0.3,2604,75242,0.828,0.9,3506,0.304,101494,1.0596012,0.0119752,-0.807,-0.807,1.4293022,0.0039961,-5.843,-5.843,0.011173,-0.647,0.0019935,-5.848
1,37035,Dummy,E,10,0.457,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,0.9,5360,99300,99.3,0.7,5682,105303,1.158,2.3,7706,0.428,142764,1.0604566,0.0119849,0,0,1.4377032,0.0040196,0,0,0.0111802,0,0.0020052,0
2,37036,Blank,E,11,0,N2,1,1,47.4,27.2,11.8,3855,71054,71.054,7.7,2537,46789,0.515,0.6585036,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,37036,Blank,E,11,0,CO2,2,1,525.2,40.5,,,,,,,,,,,,,,,-0.0,5361,99247,99.247,-0.3,5676,105147,1.157,0.9,7706,0.428,142750,1.0594383,0.0119849,0,0,1.4383186,0.0040196,0,0,0.0111802,0,0.0020052,0
3,37037,GA1_QTY_0.14,E,12,0.128,N2,1,1,47.4,27.2,11.7,3855,71105,71.105,7.6,2537,46817,0.515,0.6584118,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,37037,GA1_QTY_0.14,E,12,0.128,N2,2,0,215.9,76.9,12.2,211,5652,5.652,7.8,139,3708,0.041,0.6560681,0.0073302,-3.56,-3.56,0.0036651,-3.56,,,,,,,,,,,,,,,,,,,,,,,,
3,37037,GA1_QTY_0.14,E,12,0.128,CO2,3,0,378.1,97.4,,,,,,,,,,,,,,,-0.1,1241,35314,35.314,-0.3,1294,36817,0.405,0.9,1774,0.152,50545,1.042545,0.011797,-15.672,-15.672,1.4312865,0.0039998,-4.914,-4.914,0.0109944,-16.618,0.0019954,-4.882
3,37037,GA1_QTY_0.14,E,12,0.128,CO2,4,1,525.2,40.3,,,,,,,,,,,,,,,0.4,5360,99415,99.415,0.2,5676,105295,1.158,1.6,7708,0.429,142995,1.059144,0.0119849,0,0,1.438355,0.0040196,0,0,0.0111802,0,0.0020052,0
4,37038,GA1_QTY_0.56,F,1,0.576,N2,1,1,47.4,27.2,11.9,3854,71046,71.046,7.7,2537,46780,0.515,0.658446,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,37038,GA1_QTY_0.56,F,1,0.576,N2,2,0,216.5,90.1,12.4,947,25422,25.422,8.0,621,16672,0.183,0.6557868,0.0073267,-4.038,-4.038,0.0036633,-4.038,,,,,,,,,,,,,,,,,,,,,,,,
4,37038,GA1_QTY_0.56,F,1,0.576,CO2,3,0,374.3,114.1,,,,,,,,,,,,,,,-0.1,5535,160254,160.254,-0.3,5784,167029,1.837,0.8,7903,0.687,229060,1.0422807,0.0117941,-15.918,-15.918,1.4293588,0.003995,-6.104,-6.104,0.010992,-16.838,0.001993,-6.073
4,37038,GA1_QTY_0.56,F,1,0.576,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,1.8,5361,99418,99.418,1.6,5676,105298,1.158,3.6,7708,0.429,142977,1.0591399,0.0119849,0,0,1.4381366,0.0040196,0,0,0.0111802,0,0.0020052,0
5,37039,GA1_QTY_0.70,F,2,0.682,N2,1,1,47.4,27.2,12.1,3850,71021,71.021,8.0,2537,46812,0.515,0.6591279,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,37039,GA1_QTY_0.70,F,2,0.682,N2,2,0,216.3,92.4,12.5,1143,30421,30.421,8.1,751,19971,0.22,0.6564991,0.0073271,-3.988,-3.988,0.0036635,-3.988,,,,,,,,,,,,,,,,,,,,,,,,
5,37039,GA1_QTY_0.70,F,2,0.682,CO2,3,0,373.1,116.4,,,,,,,,,,,,,,,0.0,6600,190325,190.325,-0.2,6901,198366,2.182,1.0,9412,0.815,271746,1.0422496,0.0117944,-15.889,-15.889,1.4278009,0.0039909,-7.13,-7.13,0.0109927,-16.769,0.001991,-7.101
5,37039,GA1_QTY_0.70,F,2,0.682,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.1,5357,99386,99.386,2.0,5671,105258,1.158,4.1,7702,0.429,142923,1.0590776,0.0119849,0,0,1.4380547,0.0040196,0,0,0.0111802,0,0.0020052,0
6,37040,SAL_Std_01,F,3,0.492,N2,1,1,47.4,27.2,12.2,3848,70922,70.922,8.1,2533,46703,0.514,0.6585131,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,37040,SAL_Std_01,F,3,0.492,N2,2,0,215.9,90.9,12.6,1093,29091,29.091,8.2,729,19384,0.213,0.6663034,0.0074434,11.83,11.83,0.0037217,11.83,,,,,,,,,,,,,,,,,,,,,,,,
6,37040,SAL_Std_01,F,3,0.492,CO2,3,0,373.7,114.1,,,,,,,,,,,,,,,0.1,5551,159533,159.533,-0.1,5841,167391,1.841,1.2,7919,0.683,227825,1.0492574,0.0118718,-9.433,-9.433,1.4280769,0.0039919,-6.872,-6.872,0.01107,-9.857,0.0019914,-6.857
6,37040,SAL_Std_01,F,3,0.492,CO2,4,1,525.4,41,,,,,,,,,,,,,,,1.9,5358,99393,99.393,1.7,5674,105282,1.158,3.7,7703,0.429,142923,1.0592493,0.0119849,0,0,1.4379585,0.0040196,0,0,0.0111802,0,0.0020052,0
7,37041,GA1_Std_01,F,4,0.602,N2,1,1,47.4,27.2,12.2,3846,71010,71.01,8.1,2532,46761,0.514,0.6585164,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,37041,GA1_Std_01,F,4,0.602,N2,2,0,216.5,91.1,12.6,990,26574,26.574,8.2,650,17428,0.192,0.6558329,0.0073264,-4.075,-4.075,0.0036632,-4.075,,,,,,,,,,,,,,,,,,,,,,,,
7,37041,GA1_Std_01,F,4,0.602,CO2,3,0,374.3,115.4,,,,,,,,,,,,,,,0.1,5776,167327,167.327,-0.2,6037,174400,1.918,1.1,8239,0.717,238910,1.0422681,0.0117939,-15.935,-15.935,1.4278017,0.0039911,-7.074,-7.074,0.0109921,-16.82,0.0019911,-7.045
7,37041,GA1_Std_01,F,4,0.602,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2.0,5358,99411,99.411,1.8,5672,105291,1.158,3.9,7703,0.429,142951,1.0591461,0.0119849,0,0,1.4379745,0.0040196,0,0,0.0111802,0,0.0020052,0
8,37042,GA2_Std_01,F,5,0.587,N2,1,1,47.4,27.2,12.2,3842,70849,70.849,8.2,2532,46701,0.514,0.6591557,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,37042,GA2_Std_01,F,5,0.587,N2,2,0,216.3,91.1,12.6,968,25901,25.901,8.3,635,16984,0.187,0.6557167,0.007318,-5.217,-5.217,0.003659,-5.217,,,,,,,,,,,,,,,,,,,,,,,,
8,37042,GA2_Std_01,F,5,0.587,CO2,3,0,374.1,113.9,,,,,,,,,,,,,,,0.1,5659,163262,163.262,-0.2,5999,172553,1.898,1.2,8071,0.699,233064,1.0569052,0.0119578,-2.256,-2.256,1.4275454,0.0039907,-7.185,-7.185,0.0111562,-2.151,0.0019908,-7.188
8,37042,GA2_Std_01,F,5,0.587,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.9,5357,99333,99.333,1.8,5673,105223,1.157,3.8,7700,0.428,142829,1.0592948,0.0119849,0,0,1.437876,0.0040196,0,0,0.0111802,0,0.0020052,0
9,37043,SI_155,F,6,0.457,N2,1,1,47.4,27.2,12.2,3841,70807,70.807,8.2,2531,46676,0.513,0.6592058,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,37043,SI_155,F,6,0.457,N2,2,0,215.9,91.5,12.7,1128,30003,30.003,8.3,756,20077,0.221,0.6691638,0.0074675,15.106,15.106,0.0037338,15.106,,,,,,,,,,,,,,,,,,,,,,,,
9,37043,SI_155,F,6,0.457,CO2,3,0,374.5,112.2,,,,,,,,,,,,,,,0.1,4908,140610,140.61,-0.1,5203,148692,1.636,1.2,7003,0.603,200837,1.0574757,0.0119632,-1.803,-1.803,1.4283268,0.003993,-6.613,-6.613,0.0111613,-1.687,0.0019919,-6.616
9,37043,SI_155,F,6,0.457,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,1.7,5354,99291,99.291,1.5,5670,105187,1.157,3.5,7696,0.428,142764,1.0593859,0.0119849,0,0,1.4378346,0.0040196,0,0,0.0111802,0,0.0020052,0
10,37044,SI_156,F,7,0.459,N2,1,1,47.4,27.2,12.2,3839,70796,70.796,8.2,2528,46629,0.513,0.6586298,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,37044,SI_156,F,7,0.459,N2,2,0,216.3,91.8,12.6,1183,31357,31.357,8.3,792,20962,0.231,0.6684705,0.0074663,14.941,14.941,0.0037332,14.941,,,,,,,,,,,,,,,,,,,,,,,,
10,37044,SI_156,F,7,0.459,CO2,3,0,374.7,112.2,,,,,,,,,,,,,,,0.1,5161,147536,147.536,-0.2,5473,156042,1.716,1.2,7367,0.632,210798,1.0576534,0.011966,-1.577,-1.577,1.4287973,0.0039943,-6.285,-6.285,0.0111639,-1.456,0.0019926,-6.289
10,37044,SI_156,F,7,0.459,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,1.7,5353,99361,99.361,1.6,5668,105256,1.158,3.5,7694,0.429,142865,1.0593235,0.0119849,0,0,1.4378342,0.0040196,0,0,0.0111802,0,0.0020052,0
11,37045,SI_157,F,8,0.468,N2,1,1,47.4,27.2,12.2,3836,70747,70.747,8.2,2525,46594,0.513,0.6585983,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,37045,SI_157,F,8,0.468,N2,2,0,215.9,90.3,12.7,1122,29394,29.394,8.4,751,19657,0.216,0.6687285,0.0074696,15.381,15.381,0.0037348,15.381,,,,,,,,,,,,,,,,,,,,,,,,
11,37045,SI_157,F,8,0.468,CO2,3,0,374.7,111,,,,,,,,,,,,,,,0.1,4827,136471,136.471,-0.1,5117,144299,1.587,1.2,6895,0.585,195147,1.0573655,0.0119618,-1.925,-1.925,1.4299517,0.0039976,-5.458,-5.458,0.0111594,-1.86,0.0019943,-5.459
11,37045,SI_157,F,8,0.468,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,1.6,5350,99231,99.231,1.5,5666,105126,1.156,3.4,7690,0.428,142675,1.0594048,0.0119849,0,0,1.4377985,0.0040196,0,0,0.0111802,0,0.0020052,0
12,37046,SI_158,F,9,0.469,N2,1,1,47.4,27.2,12.2,3832,70660,70.66,8.2,2523,46537,0.512,0.6586041,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,37046,SI_158,F,9,0.469,N2,2,0,216.1,91.1,12.7,1204,31798,31.798,8.4,805,21248,0.234,0.6682131,0.0074637,14.59,14.59,0.0037319,14.59,,,,,,,,,,,,,,,,,,,,,,,,
12,37046,SI_158,F,9,0.469,CO2,3,0,374.7,111.4,,,,,,,,,,,,,,,0.1,5103,145420,145.42,-0.2,5408,153690,1.691,1.2,7289,0.624,207881,1.0568659,0.0119557,-2.433,-2.433,1.4295213,0.0039965,-5.73,-5.73,0.0111534,-2.395,0.0019937,-5.73
12,37046,SI_158,F,9,0.469,CO2,4,1,525.4,41.6,,,,,,,,,,,,,,,1.7,5348,99208,99.208,1.6,5664,105106,1.156,3.5,7687,0.428,142638,1.0594438,0.0119849,0,0,1.437759,0.0040196,0,0,0.0111802,0,0.0020052,0
13,37047,Blank,F,10,0,N2,1,1,47.4,27.2,12.2,3827,70634,70.634,8.2,2520,46521,0.512,0.6586185,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,37047,Blank,F,10,0,CO2,2,1,525.2,40.8,,,,,,,,,,,,,,,-0.0,5347,99107,99.107,-0.3,5663,105021,1.155,0.9,7685,0.428,142512,1.0596652,0.0119849,0,0,1.4379556,0.0040196,0,0,0.0111802,0,0.0020052,0
14,37048,SI_159,F,11,0.447,N2,1,1,47.4,27.2,12.0,3827,70577,70.577,7.9,2520,46485,0.511,0.6586488,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
14,37048,SI_159,F,11,0.447,N2,2,0,216.1,90.9,12.5,1118,29470,29.47,8.2,748,19703,0.217,0.6686007,0.0074676,15.11,15.11,0.0037338,15.11,,,,,,,,,,,,,,,,,,,,,,,,
14,37048,SI_159,F,11,0.447,CO2,3,0,374.9,110.8,,,,,,,,,,,,,,,-0.1,4732,134408,134.408,-0.3,5015,142122,1.563,1.0,6760,0.577,192242,1.0573895,0.0119607,-2.011,-2.011,1.430287,0.0039986,-5.206,-5.206,0.0111583,-1.962,0.0019948,-5.208
14,37048,SI_159,F,11,0.447,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,1.5,5345,99127,99.127,1.3,5662,105027,1.155,3.2,7685,0.428,142522,1.0595203,0.0119849,0,0,1.4377726,0.0040196,0,0,0.0111802,0,0.0020052,0
15,37049,SI_160,F,12,0.477,N2,1,1,47.4,27.2,12.2,3822,70534,70.534,8.1,2516,46455,0.511,0.658616,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
15,37049,SI_160,F,12,0.477,N2,2,0,216.1,90.9,12.6,1164,30843,30.843,8.3,778,20596,0.227,0.6677675,0.0074586,13.895,13.895,0.0037293,13.895,,,,,,,,,,,,,,,,,,,,,,,,
