Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,41274,11/11/22,Dummy,A,1,0.542,N2,1,1,47.7,27,12.6,3256,60028,60.028,8.3,2142,39500,0.434,0.6580265,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,41274,11/11/22,Dummy,A,1,0.542,N2,2,0,216.3,77.3,13.4,1438,31579,31.579,8.8,960,21058,0.232,0.6668613,0.0074552,13.426,13.426,0.0037276,13.426,,,,,,,,,,,,,,,,,,,,,,,,
1,41274,11/11/22,Dummy,A,1,0.542,CO2,3,0,364.1,98.6,,,,,,,,,,,,,,,0.9,6122,148960,148.96,0.3,6517,157971,1.738,2.4,8765,0.641,213597,1.0604937,0.0119743,-0.882,-0.882,1.4339231,0.0040156,-0.986,-0.986,0.01117,-0.908,0.0020032,-0.985
1,41274,11/11/22,Dummy,A,1,0.542,CO2,4,1,525.6,41.2,,,,,,,,,,,,,,,2.5,5182,96297,96.297,2.1,5497,102212,1.124,4.8,7434,0.415,138218,1.0614294,0.0119849,0,0,1.435339,0.0040196,0,0,0.0111802,0,0.0020052,0
2,41275,11/11/22,Blank,A,2,0,N2,1,1,47.7,27,13.1,3257,60038,60.038,8.8,2143,39505,0.435,0.6580043,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,41275,11/11/22,Blank,A,2,0,CO2,2,0,370.8,61.2,,,,,,,,,,,,,,,1.2,61,1517,1.517,0.6,64,1587,0.017,2.8,87,0.007,2179,1.0458318,0.0118068,-14.858,-14.858,1.4360628,0.0040211,0.382,0.382,0.011002,-15.943,0.002006,0.418
2,41275,11/11/22,Blank,A,2,0,CO2,3,1,525.4,40.3,,,,,,,,,,,,,,,1.1,5181,95955,95.955,0.5,5499,101866,1.121,2.6,7436,0.413,137744,1.061605,0.0119849,0,0,1.4355145,0.0040196,0,0,0.0111802,0,0.0020052,0
3,41276,11/11/22,GA1_QTY_0.14,A,3,0.162,N2,1,1,47.7,27,12.8,3260,60048,60.048,8.5,2145,39514,0.435,0.6580351,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,41276,11/11/22,GA1_QTY_0.14,A,3,0.162,N2,2,0,216.3,68.6,13.5,297,6683,6.683,8.9,195,4378,0.048,0.6550845,0.0073234,-4.484,-4.484,0.0036617,-4.484,,,,,,,,,,,,,,,,,,,,,,,,
3,41276,11/11/22,GA1_QTY_0.14,A,3,0.162,CO2,3,0,368.3,86.3,,,,,,,,,,,,,,,0.9,1850,44735,44.735,0.4,1936,46753,0.514,2.5,2650,0.192,64142,1.045112,0.0117994,-15.471,-15.471,1.4338353,0.004015,-1.124,-1.124,0.0109952,-16.544,0.002003,-1.088
3,41276,11/11/22,GA1_QTY_0.14,A,3,0.162,CO2,4,1,525.4,40.3,,,,,,,,,,,,,,,1.6,5185,96128,96.128,1.0,5501,102043,1.122,3.4,7440,0.414,137987,1.0615348,0.0119849,0,0,1.4354487,0.0040196,0,0,0.0111802,0,0.0020052,0
4,41277,11/11/22,GA1_QTY_0.56,A,4,0.534,N2,1,1,47.7,27,13.0,3260,60069,60.069,8.7,2145,39526,0.435,0.6580058,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,41277,11/11/22,GA1_QTY_0.56,A,4,0.534,N2,2,0,216.3,75,13.6,1020,22492,22.492,9.0,669,14739,0.162,0.6552995,0.0073261,-4.113,-4.113,0.0036631,-4.113,,,,,,,,,,,,,,,,,,,,,,,,
4,41277,11/11/22,GA1_QTY_0.56,A,4,0.534,CO2,3,0,364.5,97.2,,,,,,,,,,,,,,,1.0,5971,145414,145.414,0.4,6262,151935,1.671,2.5,8548,0.625,208499,1.044844,0.0117975,-15.632,-15.632,1.433836,0.0040153,-1.069,-1.069,0.0109933,-16.718,0.0020031,-1.033
4,41277,11/11/22,GA1_QTY_0.56,A,4,0.534,CO2,4,1,525.4,40.1,,,,,,,,,,,,,,,2.4,5186,96162,96.162,1.9,5502,102070,1.123,4.6,7441,0.414,138029,1.0614359,0.0119849,0,0,1.4353707,0.0040196,0,0,0.0111802,0,0.0020052,0
5,41278,11/11/22,GA1_QTY_0.70,A,5,0.711,N2,1,1,47.7,27,13.2,3260,60110,60.11,8.9,2145,39556,0.435,0.6580534,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
5,41278,11/11/22,GA1_QTY_0.70,A,5,0.711,N2,2,0,216.3,77.3,13.8,1384,30178,30.178,9.1,907,19775,0.218,0.655277,0.0073254,-4.219,-4.219,0.0036627,-4.219,,,,,,,,,,,,,,,,,,,,,,,,
5,41278,11/11/22,GA1_QTY_0.70,A,5,0.711,CO2,3,0,362.4,101.6,,,,,,,,,,,,,,,1.1,7999,194875,194.875,0.5,8400,203608,2.24,2.7,11457,0.839,279542,1.0448089,0.0117979,-15.6,-15.6,1.4344631,0.0040173,-0.567,-0.567,0.0109935,-16.703,0.0020041,-0.53
5,41278,11/11/22,GA1_QTY_0.70,A,5,0.711,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.9,5186,96286,96.286,2.4,5501,102195,1.124,5.3,7440,0.415,138197,1.0613659,0.0119849,0,0,1.4352762,0.0040196,0,0,0.0111802,0,0.0020052,0
6,41279,11/11/22,SAL_Std_01,A,6,0.56,N2,1,1,47.7,27,13.3,3257,60080,60.08,9.0,2145,39581,0.435,0.6588033,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
6,41279,11/11/22,SAL_Std_01,A,6,0.56,N2,2,0,216.3,77.3,13.9,1450,31554,31.554,9.2,967,21032,0.231,0.6665309,0.0074427,11.73,11.73,0.0037213,11.73,,,,,,,,,,,,,,,,,,,,,,,,
6,41279,11/11/22,SAL_Std_01,A,6,0.56,CO2,3,0,363,101.2,,,,,,,,,,,,,,,1.2,7315,177796,177.796,0.6,7730,186996,2.057,2.9,10481,0.765,255116,1.0517457,0.0118763,-9.061,-9.061,1.4348812,0.0040185,-0.266,-0.266,0.0110717,-9.704,0.0020047,-0.244
6,41279,11/11/22,SAL_Std_01,A,6,0.56,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,3.0,5185,96184,96.184,2.5,5502,102086,1.123,5.5,7441,0.414,138050,1.0613629,0.0119849,0,0,1.4352626,0.0040196,0,0,0.0111802,0,0.0020052,0
7,41280,11/11/22,GA1_Std_01,A,7,0.55,N2,1,1,47.7,27,13.4,3257,60012,60.012,9.1,2143,39489,0.434,0.6580201,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
7,41280,11/11/22,GA1_Std_01,A,7,0.55,N2,2,0,216.1,75.4,14.0,1069,23395,23.395,9.3,701,15329,0.169,0.6552576,0.0073255,-4.198,-4.198,0.0036628,-4.198,,,,,,,,,,,,,,,,,,,,,,,,
7,41280,11/11/22,GA1_Std_01,A,7,0.55,CO2,3,0,363.9,98,,,,,,,,,,,,,,,1.3,6254,151489,151.489,0.7,6561,158280,1.741,3.1,8964,0.652,217419,1.044832,0.0117979,-15.599,-15.599,1.4352189,0.0040195,-0.023,-0.023,0.0109932,-16.722,0.0020052,0.015
7,41280,11/11/22,GA1_Std_01,A,7,0.55,CO2,4,1,525.4,41,,,,,,,,,,,,,,,2.6,5186,96203,96.203,2.1,5501,102109,1.123,4.9,7440,0.414,138076,1.0613888,0.0119849,0,0,1.4352517,0.0040196,0,0,0.0111802,0,0.0020052,0
8,41281,11/11/22,GA2_Std_01,A,8,0.573,N2,1,1,47.7,27,13.3,3257,60049,60.049,9.0,2143,39514,0.435,0.6580289,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
8,41281,11/11/22,GA2_Std_01,A,8,0.573,N2,2,0,216.3,75.7,13.9,1102,24111,24.111,9.2,722,15782,0.174,0.6545269,0.0073172,-5.322,-5.322,0.0036586,-5.322,,,,,,,,,,,,,,,,,,,,,,,,
8,41281,11/11/22,GA2_Std_01,A,8,0.573,CO2,3,0,363.9,98.4,,,,,,,,,,,,,,,1.2,6453,156442,156.442,0.6,6862,165693,1.823,2.9,9250,0.674,224573,1.059136,0.0119597,-2.102,-2.102,1.4355036,0.0040203,0.183,0.183,0.0111549,-2.26,0.0020056,0.188
8,41281,11/11/22,GA2_Std_01,A,8,0.573,CO2,4,1,525.4,40.5,,,,,,,,,,,,,,,2.6,5188,96155,96.155,2.2,5504,102056,1.123,5.0,7443,0.414,138006,1.061367,0.0119849,0,0,1.4352415,0.0040196,0,0,0.0111802,0,0.0020052,0
9,41282,11/11/22,SI_236,A,9,0.477,N2,1,1,47.7,27,13.3,3256,60007,60.007,9.0,2145,39534,0.435,0.6588318,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
9,41282,11/11/22,SI_236,A,9,0.477,N2,2,0,216.3,75.9,13.9,1179,25890,25.89,9.3,788,17282,0.19,0.6675227,0.0074534,13.191,13.191,0.0037267,13.191,,,,,,,,,,,,,,,,,,,,,,,,
9,41282,11/11/22,SI_236,A,9,0.477,CO2,3,0,365.1,96.1,,,,,,,,,,,,,,,1.2,5242,127108,127.108,0.6,5566,134538,1.48,2.9,7515,0.547,182489,1.0584515,0.0119513,-2.798,-2.798,1.4356984,0.0040208,0.319,0.319,0.0111465,-3.012,0.0020059,0.326
9,41282,11/11/22,SI_236,A,9,0.477,CO2,4,1,525.4,40.3,,,,,,,,,,,,,,,2.4,5187,96106,96.106,1.9,5502,102009,1.122,4.7,7441,0.414,137936,1.0614218,0.0119849,0,0,1.43524,0.0040196,0,0,0.0111802,0,0.0020052,0
10,41283,11/11/22,SI_237,A,10,0.425,N2,1,1,47.7,27,13.2,3256,59996,59.996,8.9,2142,39482,0.434,0.658068,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
10,41283,11/11/22,SI_237,A,10,0.425,N2,2,0,216.3,76.3,13.9,1060,23274,23.274,9.2,707,15517,0.171,0.6666912,0.0074528,13.104,13.104,0.0037264,13.104,,,,,,,,,,,,,,,,,,,,,,,,
10,41283,11/11/22,SI_237,A,10,0.425,CO2,3,0,365.5,95.5,,,,,,,,,,,,,,,1.1,4805,116095,116.095,0.6,5103,122920,1.352,2.8,6890,0.5,166689,1.0587832,0.0119552,-2.477,-2.477,1.4357966,0.0040211,0.39,0.39,0.0111504,-2.67,0.002006,0.397
10,41283,11/11/22,SI_237,A,10,0.425,CO2,4,1,525.4,41,,,,,,,,,,,,,,,2.4,5190,96229,96.229,1.8,5506,102139,1.124,4.6,7446,0.414,138111,1.061412,0.0119849,0,0,1.4352363,0.0040196,0,0,0.0111802,0,0.0020052,0
11,41284,11/11/22,SI_238,A,11,0.465,N2,1,1,47.7,27,13.2,3255,60050,60.05,8.9,2144,39563,0.435,0.6588287,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
11,41284,11/11/22,SI_238,A,11,0.465,N2,2,0,216.1,75.4,13.8,1008,22178,22.178,9.2,673,14801,0.163,0.6674016,0.0074521,13.012,13.012,0.0037261,13.012,,,,,,,,,,,,,,,,,,,,,,,,
11,41284,11/11/22,SI_238,A,11,0.465,CO2,3,0,365.5,95.5,,,,,,,,,,,,,,,1.1,4633,112015,112.015,0.6,4918,118563,1.304,2.8,6644,0.483,160850,1.0584599,0.0119517,-2.766,-2.766,1.4359693,0.0040214,0.462,0.462,0.0111469,-2.982,0.0020061,0.469
11,41284,11/11/22,SI_238,A,11,0.465,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2.4,5189,96625,96.625,1.9,5507,102558,1.128,4.6,7448,0.416,138687,1.0613956,0.0119849,0,0,1.4353058,0.0040196,0,0,0.0111802,0,0.0020052,0
12,41285,11/11/22,SI_239,A,12,0.46,N2,1,1,47.7,27,13.2,3256,59984,59.984,8.9,2145,39519,0.435,0.6588169,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
12,41285,11/11/22,SI_239,A,12,0.46,N2,2,0,216.3,76.1,13.8,1123,24627,24.627,9.2,750,16433,0.181,0.6672712,0.0074508,12.833,12.833,0.0037254,12.833,,,,,,,,,,,,,,,,,,,,,,,,
12,41285,11/11/22,SI_239,A,12,0.46,CO2,3,0,365.3,95.1,,,,,,,,,,,,,,,1.1,4973,120122,120.122,0.6,5280,127163,1.399,2.8,7131,0.517,172499,1.0586113,0.0119534,-2.625,-2.625,1.4360297,0.0040216,0.514,0.514,0.0111485,-2.833,0.0020062,0.521
12,41285,11/11/22,SI_239,A,12,0.46,CO2,4,1,525.4,41.2,,,,,,,,,,,,,,,2.4,5190,96154,96.154,1.8,5506,102058,1.123,4.6,7445,0.414,138009,1.0613972,0.0119849,0,0,1.4352914,0.0040196,0,0,0.0111802,0,0.0020052,0
13,41286,11/11/22,Blank,B,1,0,N2,1,1,47.7,27,13.2,3258,60052,60.052,8.9,2143,39518,0.435,0.6580552,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
13,41286,11/11/22,Blank,B,1,0,CO2,2,0,370.8,59.8,,,,,,,,,,,,,,,1.2,58,1414,1.414,0.6,61,1481,0.016,2.9,84,0.006,2034,1.0474782,0.0118257,-13.281,-13.281,1.4379668,0.0040267,1.765,1.765,0.0110203,-14.304,0.0020088,1.799
