date,sequenceID,samples,N.prec,C.prec,N.accur,C.accur,GA1.N,SAL.C
6/6/22,set1,24,0.13606,0.01108,0.05825,0.01016,-4.54175,-21.28984
6/6/22,set2,24,0.19567,0.03212,0.14964,0.02402,-4.45036,-21.32402
6/7/22,set3,24,0.50503,0.02469,0.17235,0.05513,-4.42765,-21.24487
6/8/22,set4,24,0.14288,0.00762,0.06051,0.02404,-4.53949,-21.32404
6/8/22,set5,24,0.09074,0.00645,0.031,0.01186,-4.631,-21.28814
6/9/22,set6,24,0.14999,0.01213,0.09135,0.00199,-4.50865,-21.29801
6/13/22,set9,24,0.33077,0.00703,0.17862,0.13416,-4.42138,-21.16584
6/14/22,set10,24,0.04876,0.03455,0.06592,0.03983,-4.53408,-21.26017
6/14/22,set8,24,0.11312,0.02362,0.06477,0.03093,-4.66477,-21.26907
6/15/22,set11,24,0.09237,0.0153,0.01817,0.05796,-4.61817,-21.24204
6/15/22,set12,23,0.06441,0.01842,0.0579,0.05366,-4.5421,-21.35366
6/16/22,set13,16,0.11071,0.04569,0.01489,0.01988,-4.61489,-21.31988
6/16/22,set7,24,0.16481,0.01303,0.05784,0.05982,-4.54216,-21.24018
10/10/22,set14,24,0.11357,0.35982,0.00373,0.01367,-4.60373,-21.31367
10/12/22,set16,24,0.1309,0.59968,0.02619,0.14099,-4.57381,-21.44099
10/26/22,set18,24,0.20661,0.07845,0.04594,0.0462,-4.55406,-21.2538
11/10/22,set19,23,0.08751,0.02311,0.08416,0.0305,-4.51584,-21.2695
11/10/22,set20,24,0.12663,0.01858,0.03826,0.01854,-4.56174,-21.28146
11/11/22,set15,24,0.11096,0.01109,0.0141,0.06223,-4.5859,-21.23777
11/11/22,set17,24,0.1302,0.04344,0.03912,0.01256,-4.63912,-21.28744
11/12/22,set21,24,0.12075,0.01572,0.04069,0.00413,-4.55931,-21.30413
11/13/22,set22,24,0.08376,0.02571,0.0726,0.04453,-4.6726,-21.25547
11/13/22,set23,24,0.08349,0.01735,0.0451,0.02746,-4.6451,-21.32746
11/13/22,set24,24,0.09145,0.01858,0.03227,0.05853,-4.56773,-21.24147
11/14/22,set25,24,0.06246,0.01183,0.08271,0.03426,-4.51729,-21.26574
11/14/22,set26,24,0.10184,0.02859,0.14253,0.00036,-4.74253,-21.29964
11/15/22,set27,24,0.09738,0.02312,0.02935,0.07801,-4.57065,-21.37801
11/16/22,set28,24,0.09704,0.01725,0.06926,0.03712,-4.66926,-21.26288
11/17/22,set29,24,0.0668,0.0322,0.00908,0.06149,-4.59092,-21.23851
11/17/22,set30,24,0.10033,0.0878,0.01068,0.07791,-4.61068,-21.22209
12/5/22,set31,24,0.09313,0.02835,0.23264,0.00627,-4.36736,-21.30627
12/6/22,set32,24,0.091,0.03837,0.00295,0.13335,-4.59705,-21.16665
12/6/22,set33,24,0.06484,0.0205,0.01508,0.07461,-4.61508,-21.37461
12/7/22,set34,24,0.09457,0.0359,0.03134,0.02393,-4.63134,-21.27607
12/7/22,set35,24,0.07566,0.04098,0.01013,0.05939,-4.58987,-21.24061
2022-12-08,set36,24,0.10099,0.06054,0.04696,0.03129,-4.55304,-21.26871
2022-12-09,set37,24,0.0864,0.02969,0.10005,0.00537,-4.49995,-21.29463
2022-12-09,set38,19,0.1023,0.01915,0.04251,0.07557,-4.64251,-21.37557
