"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","SP_111",8,13.3711818181818,-14.5761881024934,0.872880302511119,0.10911003781389,0.298944837259319,0.0373681046574149
"2","SP_112",9,14.2561818181818,-15.0283730033376,1.12580437180975,0.125089374645528,1.81243307172769,0.201381452414188
"3","SP_113",10,13.5231818181818,-13.2092063932805,0.798067233139319,0.0798067233139319,0.230258324254766,0.0230258324254766
"4","SP_114",11,13.3741818181818,-13.977772294495,1.03798500733164,0.0943622733937859,0.934772072225073,0.0849792792931884
"5","SF_115",1,13.2231818181818,-11.5042204103579,1.44633967765272,1.44633967765272,2.70259120067975,2.70259120067975
"6","SF_116",2,13.1141818181818,-12.8773246371368,1.10968086547962,0.55484043273981,1.31207090407647,0.656035452038235
"7","SF_117",3,13.0751818181818,-12.1920021288538,1.12064484978411,0.373548283261369,1.38104361088521,0.460347870295069
"8","SF_118",4,13.3601818181818,-12.2037407443687,1.32734820093637,0.331837050234092,2.11255497438369,0.528138743595923
"9","SF_119",8,13.3301818181818,-12.5968136998034,1.17277752025153,0.146597190031441,1.69843253972708,0.212304067465885
"10","SF_120",9,13.8231818181818,-13.9681998934839,1.45397147064898,0.161552385627665,2.72367414425475,0.302630460472751
"11","SF_121",10,14.1241818181818,-15.0513882213866,1.23103712312439,0.123103712312439,1.82063729411434,0.182063729411434
"12","SF_122",11,13.5611818181818,-13.8312710499408,0.998966122012731,0.0908151020011574,0.829071160545844,0.0753701055041676
"13","SF_123",1,13.0141818181818,-17.1626206152805,1.21125895535944,1.21125895535944,1.74279257937585,1.74279257937585
"14","SF_124",2,13.5211818181818,-14.4485401956,1.16804795839469,0.584023979197344,1.90582764982694,0.952913824913468
"15","SB_167",3,14.0051818181818,-15.7675495267165,0.819457751537291,0.273152583845764,0.221672510129197,0.0738908367097324
"16","SB_168",4,13.1761818181818,-16.1083072910926,0.957904925892002,0.239476231473,0.667848650854603,0.166962162713651
"17","SB_169",8,13.0361818181818,-16.7909590301087,0.699068904272324,0.0873836130340406,-0.511937607933316,-0.0639922009916645
"18","SB_170",9,12.9821818181818,-18.1662577454188,0.443457583918673,0.0492730648798525,-1.54414326169618,-0.171571473521797
"19","SB_171",10,13.5381818181818,-17.1028254430499,0.912544128083238,0.0912544128083238,0.162525790597499,0.0162525790597499
"20","SF_172",11,13.8991818181818,-13.8546533964629,1.12548190168315,0.10231653651665,1.47052687366058,0.133684261241871
"21","SF_173",1,12.5771818181818,-15.2621359424195,1.20212230177236,1.20212230177236,1.61352837781867,1.61352837781867
"22","SF_174",2,14.2761818181818,-13.1313854805049,1.01777687939788,0.508888439698941,1.03484450575532,0.517422252877659
"23","SF_175",3,13.2401818181818,-15.4703288045978,1.11527034767407,0.371756782558022,1.30224491679943,0.434081638933143
