Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,40680,Dummy,A,1,0.52,N2,1,1,47.7,27,11.7,3316,61187,61.187,7.3,2184,40299,0.443,0.6586151,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,40680,Dummy,A,1,0.52,N2,2,0,214.4,85.9,12.6,1085,24184,24.184,7.9,723,16100,0.177,0.66571,0.0074356,10.772,10.772,0.0037178,10.772,,,,,,,,,,,,,,,,,,,,,,,,
1,40680,Dummy,A,1,0.52,CO2,3,0,357.2,126.4,,,,,,,,,,,,,,,-0.0,5239,129232,129.232,-0.3,5571,136974,1.507,1.3,7583,0.562,187233,1.0599088,0.0119611,-1.98,-1.98,1.4488176,0.0040579,9.543,9.543,0.0111525,-2.477,0.0020244,9.559
1,40680,Dummy,A,1,0.52,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,3.1,5267,97569,97.569,2.7,5591,103620,1.14,5.6,7555,0.42,140024,1.0620119,0.0119849,0,0,1.4351219,0.0040196,0,0,0.0111802,0,0.0020052,0
2,40681,Blank,A,2,0,N2,1,1,47.4,27,12.6,3305,60918,60.918,8.1,2176,40121,0.441,0.6586128,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,40681,Blank,A,2,0,CO2,2,0,362,58.5,,,,,,,,,,,,,,,0.8,52,1252,1.252,0.2,54,1310,0.014,2.2,75,0.005,1818,1.0469657,0.011814,-14.257,-14.257,1.4528989,0.0040686,12.192,12.192,0.0110043,-15.736,0.0020297,12.241
2,40681,Blank,A,2,0,CO2,3,1,525.2,40.1,,,,,,,,,,,,,,,0.7,5260,97529,97.529,0.0,5583,103586,1.139,1.9,7547,0.42,139993,1.0621076,0.0119849,0,0,1.4353988,0.0040196,0,0,0.0111802,0,0.0020052,0
3,40682,GA1_QTY_0.14,A,3,0.152,N2,1,1,47.4,26.8,12.5,3306,60825,60.825,7.9,2177,40057,0.441,0.6585535,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,40682,GA1_QTY_0.14,A,3,0.152,N2,2,0,214,68.1,13.2,276,6117,6.117,8.4,181,4013,0.044,0.6559689,0.0073275,-3.925,-3.925,0.0036638,-3.925,,,,,,,,,,,,,,,,,,,,,,,,
3,40682,GA1_QTY_0.14,A,3,0.152,CO2,3,0,360.1,99.1,,,,,,,,,,,,,,,0.5,1718,41589,41.589,-0.2,1798,43507,0.479,1.7,2489,0.181,60345,1.046099,0.0118054,-14.971,-14.971,1.450984,0.0040634,10.899,10.899,0.0109962,-16.454,0.0020272,10.947
