Row,Analysis,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,36682,Dummy,A,3,0.417,N2,1,1,47.9,27,10.8,3831,70293,70.293,6.8,2526,46357,0.51,0.6594839,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,36682,Dummy,A,3,0.417,N2,2,0,220.7,113.3,11.4,346,11122,11.122,7.2,231,7420,0.082,0.6670841,0.0074412,11.525,11.525,0.0037206,11.525,,,,,,,,,,,,,,,,,,,,,,,,
1,36682,Dummy,A,3,0.417,CO2,3,0,377.5,164.3,,,,,,,,,,,,,,,-0.3,1979,67103,67.103,-0.6,2097,71089,0.782,0.5,2833,0.288,96143,1.0594088,0.0119748,-0.84,-0.84,1.4327706,0.0040045,-3.737,-3.737,0.0111717,-0.761,0.0019977,-3.739
1,36682,Dummy,A,3,0.417,CO2,4,1,525.8,43.5,,,,,,,,,,,,,,,-0.3,5354,99117,99.117,-0.6,5675,105094,1.156,0.5,7696,0.428,142544,1.0602993,0.0119849,0,0,1.4381445,0.0040196,0,0,0.0111802,0,0.0020052,0
2,36683,Blank,A,4,0,N2,1,1,47.7,27.2,11.8,3832,70695,70.695,7.8,2525,46594,0.513,0.6590839,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,36683,Blank,A,4,0,CO2,2,1,525.4,40.8,,,,,,,,,,,,,,,-0.1,5323,98595,98.595,-0.4,5636,104430,1.149,0.7,7656,0.426,141846,1.059177,0.0119849,0,0,1.4386709,0.0040196,0,0,0.0111802,0,0.0020052,0
3,36684,GA1_QTY_0.14,A,5,0.141,N2,1,1,47.9,27.2,11.6,3841,71275,71.275,7.6,2530,46972,0.517,0.6590288,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,36684,GA1_QTY_0.14,A,5,0.141,N2,2,0,220.1,89.9,12.1,193,5911,5.911,7.8,127,3879,0.043,0.6561727,0.0073245,-4.334,-4.334,0.0036623,-4.334,,,,,,,,,,,,,,,,,,,,,,,,
3,36684,GA1_QTY_0.14,A,5,0.141,CO2,3,0,377.7,157.8,,,,,,,,,,,,,,,-0.2,1158,37925,37.925,-0.4,1207,39535,0.435,0.7,1658,0.163,54345,1.042454,0.011799,-15.506,-15.506,1.4329542,0.0040037,-3.952,-3.952,0.010996,-16.476,0.0019973,-3.919
3,36684,GA1_QTY_0.14,A,5,0.141,CO2,4,1,525.6,43.7,,,,,,,,,,,,,,,8.8,5323,98765,98.765,9,5633,104580,1.15,13.7,7654,0.426,142088,1.0588725,0.0119849,0,0,1.4386391,0.0040196,0,0,0.0111802,0,0.0020052,0
4,36685,GA1_QTY_0.56,A,6,0.577,N2,1,1,47.7,27,12,3836,70704,70.704,7.9,2527,46596,0.513,0.6590235,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
