Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
1,42182,12/8/22,Dummy,A,1,0.478,N2,1,1,47.4,27,13.7,3296,60703,60.703,8.7,2172,40007,0.44,0.6590565,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
1,42182,12/8/22,Dummy,A,1,0.478,N2,2,0,215.7,79,14.6,1311,29517,29.517,9.2,879,19773,0.218,0.6698903,0.0074773,16.438,16.438,0.0037387,16.438,,,,,,,,,,,,,,,,,,,,,,,,
1,42182,12/8/22,Dummy,A,1,0.478,CO2,3,0,367.4,98.6,,,,,,,,,,,,,,,0.7,5887,147624,147.624,0.1,6259,156423,1.721,2,8481,0.639,212957,1.0596023,0.0119594,-2.127,-2.127,1.4425621,0.0040416,5.479,5.479,0.0111524,-2.484,0.0020162,5.491
1,42182,12/8/22,Dummy,A,1,0.478,CO2,4,1,525.4,43.1,,,,,,,,,,,,,,,11.2,5234,96287,96.287,11.2,5555,102244,1.125,17.3,7507,0.414,138143,1.0618612,0.0119849,0,0,1.4347012,0.0040196,0,0,0.0111802,0,0.0020052,0
2,42183,12/8/22,Blank,A,2,0,N2,1,1,47.4,26.8,16,3287,60588,60.588,10.8,2166,39930,0.439,0.6590369,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
2,42183,12/8/22,Blank,A,2,0,CO2,2,1,525.2,41.4,,,,,,,,,,,,,,,1.3,5226,96454,96.454,0.8,5549,102447,1.127,2.8,7495,0.415,138376,1.062136,0.0119849,0,0,1.4346404,0.0040196,0,0,0.0111802,0,0.0020052,0
3,42184,12/8/22,GA1_QTY_0.14,A,3,0.123,N2,1,1,47.4,27,15.1,3287,60540,60.54,10,2166,39902,0.439,0.6590975,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
3,42184,12/8/22,GA1_QTY_0.14,A,3,0.123,N2,2,0,216.1,64.4,15.6,222,4964,4.964,10.2,146,3259,0.036,0.6564536,0.0073269,-4.011,-4.011,0.0036634,-4.011,,,,,,,,,,,,,,,,,,,,,,,,
3,42184,12/8/22,GA1_QTY_0.14,A,3,0.123,CO2,3,0,372.2,84.2,,,,,,,,,,,,,,,1,1395,34111,34.111,0.5,1458,35648,0.392,2.5,2009,0.148,49213,1.0450505,0.0117925,-16.053,-16.053,1.4427062,0.0040427,5.756,5.756,0.0109854,-17.423,0.0020168,5.801
3,42184,12/8/22,GA1_QTY_0.14,A,3,0.123,CO2,4,1,525.4,41.4,,,,,,,,,,,,,,,2.4,5231,96796,96.796,1.9,5554,102807,1.131,4.5,7503,0.417,138848,1.0621003,0.0119849,0,0,1.4344495,0.0040196,0,0,0.0111802,0,0.0020052,0
4,42185,12/8/22,GA1_QTY_0.56,A,4,0.535,N2,1,1,47.4,27,15.5,3284,60499,60.499,10.3,2164,39877,0.439,0.6591479,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
4,42185,12/8/22,GA1_QTY_0.56,A,4,0.535,N2,2,0,215.9,73.2,15.9,1040,22827,22.827,10.5,683,14984,0.165,0.6564233,0.007326,-4.134,-4.134,0.003663,-4.134,,,,,,,,,,,,,,,,,,,,,,,,
4,42185,12/8/22,GA1_QTY_0.56,A,4,0.535,CO2,3,0,367.4,97.8,,,,,,,,,,,,,,,1.1,6004,147461,147.461,0.6,6295,154058,1.695,2.7,8635,0.637,212386,1.0447372,0.0117896,-16.294,-16.294,1.4402844,0.0040367,4.264,4.264,0.0109831,-17.627,0.0020138,4.308
4,42185,12/8/22,GA1_QTY_0.56,A,4,0.535,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,3.5,5233,96861,96.861,3,5556,102870,1.132,6.1,7502,0.417,138915,1.0620424,0.0119849,0,0,1.4341695,0.0040196,0,0,0.0111802,0,0.0020052,0
5,42186,12/8/22,GA1_QTY_0.70,A,5,0.717,N2,1,1,47.4,27,15.7,3281,60451,60.451,10.6,2162,39847,0.438,0.6591678,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
