Site ,Site code,Date,Lat,Long,Strata (OysterType-EelgrassType),Fish Species,Fish Species Code,Fish number,sampleID,Sample ID,Full Length (mm),Weight (g),Notes 
Samish_Island,,7/27/21,,,Bottom-Sparse,Staghorn Sculpin,SS,77,SS_77,SA_IS_072721_SS_77,102,12.6489,"bottom oyster, sparse eelgrass"
Samish_Island,,7/27/21,,,Bottom-Sparse,Staghorn Sculpin,SS,78,SS_78,SA_IS_072721_SS_78,119,16.8751,"bottom oyster, sparse eelgrass"
Samish_Island,,7/27/21,,,Bottom-Sparse,Staghorn Sculpin,SS,79,SS_79,SA_IS_072721_SS_79,102,12.1421,"bottom oyster, sparse eelgrass"
Samish_Island,,7/27/21,,,Bottom-Sparse,Staghorn Sculpin,SS,80,SS_80,SA_IS_072721_SS_80,113,17.3982,"bottom oyster, sparse eelgrass"
Samish_Island,,7/27/21,,,Bottom-Sparse,Staghorn Sculpin,SS,81,SS_81,SA_IS_072721_SS_81,76,4.9736,"bottom oyster, sparse eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Shiner Perch,SP,82,SP_82,SA_IS_072721_SP_82,50,1.4099,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Shiner Perch,SP,83,SP_83,SA_IS_072721_SP_83,58,2.2655,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Shiner Perch,SP,84,SP_84,SA_IS_072721_SP_84,60,2.6411,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Shiner Perch,SP,85,SP_85,SA_IS_072721_SP_85,61,2.8683,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Shiner Perch,SP,86,SP_86,SA_IS_072721_SP_86,50,1.6818,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Staghorn Sculpin,SS,87,SS_87,SA_IS_072721_SP_87,72,3.877,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Staghorn Sculpin,SS,88,SS_88,SA_IS_072721_SP_88,94,8.2833,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Staghorn Sculpin,SS,89,SS_89,SA_IS_072721_SP_89,105,11.9808,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Staghorn Sculpin,SS,90,SS_90,SA_IS_072721_SP_90,109,12.8907,"no oyster, dense eelgrass"
Samish_Island,,7/27/21,,,No-Dense,Staghorn Sculpin,SS,91,SS_91,SA_IS_072721_SP_91,116,17.7981,"no oyster, dense eelgrass"
Samish_Island,,7/29/21,,,Bottom-No,Staghorn Sculpin,SS,92,SS_92,SA_IS_072921_SS_92,91,8.4516,"bottom oyster, no eelgrass"
Samish_Island,,7/29/21,,,Bottom-No,Staghorn Sculpin,SS,93,SS_93,SA_IS_072921_SS_93,75,4.4449,"bottom oyster, no eelgrass"
Samish_Island,,7/29/21,,,Bottom-No,Staghorn Sculpin,SS,94,SS_94,SA_IS_072921_SS_94,82,5.9458,"bottom oyster, no eelgrass"
Samish_Island,,7/29/21,,,Bottom-No,Staghorn Sculpin,SS,95,SS_95,SA_IS_072921_SS_95,80,5.6876,"bottom oyster, no eelgrass"
Samish_Island,,7/29/21,,,Bottom-No,Staghorn Sculpin,SS,96,SS_96,SA_IS_072921_SS_96,103,12.2103,"bottom oyster, no eelgrass"
