sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_141a,13.0744545454545,-14.4385560758016,DH_2021_general,Drayton Harbor,2021,general,dungeness crab,149,NA
SI_142a,12.8574545454545,-15.2793074077027,DH_2021_general,Drayton Harbor,2021,general,dungeness crab,165,NA
SI_165,12.7092727272727,-13.1900904205042,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,150,#02 labeled on collection sheet and baggie
SI_166,13.3662727272727,-10.2774162260973,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,80,#03 labeled on collection sheet and baggie
SI_167,13.8782727272727,-9.84937483307877,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,75,#04 labeled on collection sheet and baggie
SI_168,13.5962727272727,-12.4786738050927,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,60,#05 labeled on collection sheet and baggie
SI_169,13.0302727272727,-11.9202547015366,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,155,#06 labeled on collection sheet and baggie
SI_170,12.4282727272727,-13.6737770016259,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,170,#07 labeled on collection sheet and baggie
SI_171,13.9552727272727,-10.230411225699,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,80,#08 labeled on collection sheet and baggie
SI_172,12.8242727272727,-12.1007786537486,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,150,#09 labeled on collection sheet and baggie
SI_173,12.4342727272727,-12.7156500297943,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,160,#10 labeled on collection sheet and baggie
SI_174,12.3632727272727,-12.6029159979143,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,155,#11 labeled on collection sheet and baggie
SI_175,13.2242727272727,-11.0698089861989,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,135,#12 labeled on collection sheet and baggie
SI_176,12.3482727272727,-11.8838734834484,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,165,#13 labeled on collection sheet and baggie
SI_177,13.0072727272727,-12.5805449388482,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,165,#14 labeled on collection sheet and baggie
SI_178,11.9672727272727,-12.1977486743502,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,150,#15 labeled on collection sheet and baggie
SI_180,13.1972727272727,-11.6073465547114,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,65,#17 labeled on collection sheet and baggie
SI_181,13.6022727272727,-11.5594681740727,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,95,#18 labeled on collection sheet and baggie
SI_182,13.4102727272727,-8.92980871125741,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,85,#19 labeled on collection sheet and baggie
SI_183,13.5902727272727,-10.0527590915061,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,75,#20 labeled on collection sheet and baggie
SI_184,14.0592727272727,-11.6556764893446,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,70,#21 labeled on collection sheet and baggie
SI_185,13.4072727272727,-9.31352102361588,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,80,#22 labeled on collection sheet and baggie
SI_186,13.1682727272727,-10.9485981616492,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,75,#23 labeled on collection sheet and baggie
SI_187,12.9292727272727,-11.0662970449623,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,60,#24 labeled on collection sheet and baggie
SI_188,13.1818181818182,-12.2426234050358,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,55,#25 labeled on collection sheet and baggie
SI_189,12.6748181818182,-13.3856118120676,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,55,#26 labeled on collection sheet and baggie
SI_190,13.9678181818182,-11.9717888200953,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,65,#27 labeled on collection sheet and baggie
SI_191,12.7868181818182,-13.2682586246246,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,50,#28 labeled on collection sheet and baggie
SI_192,12.8088181818182,-13.1134199667982,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,45,#29 labeled on collection sheet and baggie
SI_193,12.7548181818182,-11.7456985943124,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,70,#30 labeled on collection sheet and baggie
SI_194,12.9458181818182,-13.4089020960376,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,60,#31 labeled on collection sheet and baggie
SI_195,13.0678181818182,-11.9403293731935,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,70,#32 labeled on collection sheet and baggie
SI_196,13.2608181818182,-12.6251907440366,OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,105,#33 labeled on collection sheet and baggie
SI_579,12.9581818181818,-15.4359399392709,DH_2022_general,Drayton Harbor,2022,general,dungeness crab,150,NA
SI_580,12.4231818181818,-13.7829740663597,DH_2022_general,Drayton Harbor,2022,general,dungeness crab,115,NA
SI_581,12.0531818181818,-14.5363599206522,DH_2022_general,Drayton Harbor,2022,general,dungeness crab,100,NA
SI_582,11.1921818181818,-17.3870743898695,DH_2022_general,Drayton Harbor,2022,general,dungeness crab,35,NA
