sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_147a,14.288454545454501,-11.2030048690709,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness crab,105,NA
SI_148a,14.2214545454545,-11.2364817829857,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness crab,92,NA
SI_149a,14.2154545454545,-9.13195203006853,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness crab,98,"stomach empty, no stomach sample"
SI_150a,13.9504545454545,-12.0208625879557,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness crab,89,"stomach empty, no stomach sample"
SI_151a,14.0394545454545,-11.8229571348179,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness crab,79,NA
SI_162a,14.1346363636364,-11.2454497899389,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness crab,90,NA
SI_163a,13.7306363636364,-11.5792098698439,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness crab,92,NA
SI_164a,13.0526363636364,-11.9562068869338,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness crab,83,NA
SI_165a,13.7606363636364,-13.2208206843371,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness crab,83,NA
SI_166a,13.7836363636364,-12.9949011685185,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness crab,103,NA
SI_439,13.381,-11.1477542394611,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,70,NA
SI_440,13.248,-11.6256803799905,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,70,NA
SI_441,13.584,-11.2106225578749,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,60,NA
SI_442,12.855,-11.5299980128101,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,80,NA
SI_443,13.712,-11.33459007528,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,85,NA
SI_444,13.388,-10.9089350999876,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,75,NA
SI_445,13.338,-10.9155298977503,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,70,NA
SI_446,13.715,-10.6259136227672,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,dungeness crab,70,NA
