sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_230,12.4819090909091,-10.7380005211266,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,29,NA
SI_231,12.7399090909091,-12.4330874407537,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,32,NA
SI_232,12.5589090909091,-12.2700373855791,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,30,NA
SI_233,13.1099090909091,-7.42480689047454,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,47,NA
SI_234,12.7249090909091,-11.3708482403173,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,36,NA
SI_235,12.8329090909091,-9.48246648854482,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,33,NA
SI_236,12.8024545454545,-14.3889433946733,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,25,NA
SI_237,12.7154545454545,-14.0119094915135,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,25,NA
SI_238,12.6234545454545,-14.3208197606566,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,27,NA
SI_239,12.4444545454545,-14.188793658516,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,34,NA
SI_240,12.6444545454545,-14.4180123865916,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,30,NA
SI_241,12.7424545454545,-14.4142248555026,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,30,NA
SI_242,12.7144545454545,-14.3972473317021,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,32,NA
SI_243,12.8514545454545,-13.4147335895919,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,33,NA
SI_244,12.4374545454545,-14.7440613535157,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,32,NA
SI_245,12.5084545454545,-13.6316719715824,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,35,NA
SI_246,12.7074545454545,-14.2378671435057,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,36,NA
SI_247,12.6784545454545,-14.1005620995965,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,37,NA
SI_248,12.6254545454545,-13.9773470696409,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,37,NA
SI_249,12.7834545454545,-14.4876487515112,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,39,NA
SI_250,12.7354545454545,-14.2653779537923,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,37,NA
SI_251,12.5684545454545,-13.4005808038944,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,36,NA
SI_252,12.6884545454545,-14.183615983821,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,38,NA
SI_253,12.6494545454545,-14.3246242299765,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,43,NA
SI_254,13.0374545454545,-14.3374712477565,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,40,NA
SI_255,12.4354545454545,-14.4814937066438,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,46,NA
SI_256,13.9004545454545,-13.1644894931006,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,69,NA
SI_257,13.3774545454545,-13.4969699134188,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,59,NA
SI_258,13.3294545454545,-14.3456411175872,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,71,NA
SI_259,12.8174545454545,-13.5369754795944,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,68,NA
SI_260,13.2763636363636,-12.9345710563668,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,45,NA
SI_261,12.5543636363636,-13.3735812097426,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,34,NA
SI_262,12.4443636363636,-14.0153066522197,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,36,NA
SI_263,12.8833636363636,-13.7801952756824,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,41,NA
SI_264,13.0263636363636,-14.1659558760057,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,39,NA
SI_265,12.9963636363636,-14.3326922693951,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,50,NA
SI_266,13.2383636363636,-13.0451274066725,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,49,NA
SI_290,12.8407272727273,-13.8562884646708,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,30,NA
SI_536,13.2294545454545,-13.6199103132984,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,60,NA
SI_537,13.2134545454545,-14.62760232032,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,78,NA
SI_538,12.6004545454545,-14.8948108224268,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,64,NA
SI_539,12.6394545454545,-14.8995277149956,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,55,NA
SI_540,11.7344545454545,-16.1672788787889,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,76,NA
SI_541,12.4674545454545,-15.1170817650523,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,50,NA
SI_542,12.5684545454545,-14.8442021305285,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,55,NA
SI_543,13.2394545454545,-14.1172968204849,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,76,NA
SI_544,12.6564545454545,-14.7017525172382,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,75,NA
SI_545,13.5674545454545,-12.3293731564526,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,64,NA
SI_546,13.2344545454545,-13.8611188041524,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,70,NA
SI_547,13.3794545454545,-12.9706959786735,OCS_2022_general,Oyster Creek Samish,2022,general,English sole,75,NA
SF_115,13.2231818181818,-11.5042204103579,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,81,"no oyster, dense eelgrass"
SF_116,13.1141818181818,-12.8773246371368,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,69,"no oyster, dense eelgrass - stomach burst, took stomach and whole gut"
SF_117,13.0751818181818,-12.1920021288538,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,61,"no oyster, dense eelgrass - took stomach and whole gut"
SF_118,13.3601818181818,-12.2037407443687,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,70,"no oyster, dense eelgrass - took stomach and whole gut"
SF_119,13.3301818181818,-12.5968136998034,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,61,"no oyster, dense eelgrass - took stomach and whole gut"
SF_120,13.8231818181818,-13.9681998934839,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,83,"no oyster, dense eelgrass (label says ""dense-no"", but assuming they mean ""no-dense"") - goopy gut"
SF_121,14.1241818181818,-15.0513882213866,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,83,"no oyster, dense eelgrass (label says ""dense-no"", but assuming they mean ""no-dense"") - goopy gut"
SF_122,13.5611818181818,-13.8312710499408,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,84,"no oyster, dense eelgrass (label says ""dense-no"", but assuming they mean ""no-dense"") - goopy gut"
SF_123,13.0141818181818,-17.1626206152805,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,84,"no oyster, dense eelgrass (label says ""dense-no"", but assuming they mean ""no-dense"") - goopy gut"
SF_124,13.5211818181818,-14.4485401956,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,68,"no oyster, dense eelgrass (label says ""dense-no"", but assuming they mean ""no-dense"") - goopy gut"
SF_172,13.8991818181818,-13.8546533964629,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,73,NA
SF_173,12.5771818181818,-15.2621359424195,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,93,NA
SF_174,14.2761818181818,-13.1313854805049,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,77,NA
SF_175,13.2401818181818,-15.4703288045978,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,80,NA
SF_189,14.0644444444444,-14.4168824740965,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,79,NA
SF_190,13.7994444444444,-14.3207717059077,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,74,NA
SF_191,13.3314444444444,-15.2765119183955,OCS_2021_general,Oyster Creek Samish,2021,general,starry flounder,94,NA
SI_615,13.7446363636364,-15.2541265484603,DH_2022_general,Drayton Harbor,2022,general,starry flounder,75,NA
SI_616,13.2096363636364,-15.075622782701,DH_2022_general,Drayton Harbor,2022,general,starry flounder,76,NA
SI_617,13.3076363636364,-15.0157238403334,DH_2022_general,Drayton Harbor,2022,general,starry flounder,90,NA
SI_618,12.7606363636364,-14.8991785720063,DH_2022_general,Drayton Harbor,2022,general,starry flounder,81,NA
SI_619,12.9116363636364,-14.5316192426048,DH_2022_general,Drayton Harbor,2022,general,starry flounder,70,NA
SI_620,13.1756363636364,-14.6804029800813,DH_2022_general,Drayton Harbor,2022,general,starry flounder,82,NA
SI_621,14.3510909090909,-16.1338076699727,DH_2022_general,Drayton Harbor,2022,general,starry flounder,91,NA
SI_622,12.5520909090909,-15.3660274856454,DH_2022_general,Drayton Harbor,2022,general,starry flounder,88,NA
SI_623,13.5900909090909,-14.3281877061973,DH_2022_general,Drayton Harbor,2022,general,starry flounder,80,NA
SI_624,13.5800909090909,-14.5348900237559,DH_2022_general,Drayton Harbor,2022,general,starry flounder,75,NA
SI_625,13.2740909090909,-13.7342679816956,DH_2022_general,Drayton Harbor,2022,general,starry flounder,65,NA
SI_626,12.5040909090909,-14.8759040857836,DH_2022_general,Drayton Harbor,2022,general,starry flounder,65,NA
SI_627,13.3310909090909,-13.8081207889653,DH_2022_general,Drayton Harbor,2022,general,starry flounder,76,NA
SI_628,13.6590909090909,-13.8835018241156,DH_2022_general,Drayton Harbor,2022,general,starry flounder,79,NA
SI_629,13.5800909090909,-15.176022840657,DH_2022_general,Drayton Harbor,2022,general,starry flounder,86,NA
SI_630,13.2370909090909,-14.8395185850946,DH_2022_general,Drayton Harbor,2022,general,starry flounder,62,NA
SI_631,13.1360909090909,-15.2812798549808,DH_2022_general,Drayton Harbor,2022,general,starry flounder,80,NA
SI_632,13.4920909090909,-14.9433734251131,DH_2022_general,Drayton Harbor,2022,general,starry flounder,76,NA
SI_633,13.9320909090909,-13.9760302395015,DH_2022_general,Drayton Harbor,2022,general,starry flounder,160,NA
