sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_411,13.2172727272727,-17.7190042989326,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,75,NA
SI_412,13.8082727272727,-17.6781451441046,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,72,NA
SI_413,13.0292727272727,-17.3573818916822,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,72,NA
SI_414,13.6542727272727,-17.7526931352953,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,66,NA
SI_415,13.6952727272727,-16.0101476926249,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,66,NA
SI_416,13.6402727272727,-18.5225994467355,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,60,NA
SI_417,14.6312727272727,-18.4399573436025,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,33,NA
SI_447,14.002,-18.1794143987621,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,73,NA
SI_479,13.8636363636364,-17.5774619190945,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,71,NA
SI_480,14.4856363636364,-17.3882033383083,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,67,NA
SI_481,13.2586363636364,-18.0833559893849,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,67,NA
SI_482,13.5196363636364,-18.3284922265031,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,71,NA
SI_483,13.7366363636364,-18.7209601269257,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,70,NA
SI_484,13.8726363636364,-17.8655563480762,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,66,NA
SI_485,13.4716363636364,-17.2037684946933,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,78,NA
SI_486,14.5316363636364,-17.3849257601553,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,65,NA
SI_487,13.6146363636364,-17.5749442934072,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,76,NA
SI_488,14.1066363636364,-17.2506468089508,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,67,NA
SI_489,13.9236363636364,-17.1627981301298,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,65,NA
SI_490,13.8346363636364,-17.568717640897,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,65,NA
SI_491,13.2446363636364,-16.6678561178258,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,72,NA
SI_492,13.9366363636364,-17.7598349613623,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,stickleback,68,NA
