sampling_id,location,year,habitat_type,sample_category,sampleID,length_mm,notes
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,amphipod,SI_127,,picked from marina
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,amphipod,SI_138,,picked from japonica
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,amphipod,SI_140,,picked from japonica
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,amphipod,SI_81,,picked off of marina
DH_2021_flipbags,Drayton Harbor,2021,flipbags,amphipod,SI_98,,picked off marina
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,amphipods,SI_448,,about 15 small to medium
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,amphipods,SI_449,,about 5 large ones
DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,SI_102,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,SI_103,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,SI_104,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,SI_105,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,SI_106,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,SI_119,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,SI_120,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,SI_121,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,SI_122,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,SI_123,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_346,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_347,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_348,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_349,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_350,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_351,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_352,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_353,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_354,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_355,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_356,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_357,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_358,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_359,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_360,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_361,,
OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,SI_362,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_363,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_364,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_365,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_366,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_367,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_368,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_369,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_370,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_371,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_372,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_373,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_374,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_375,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_376,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_377,,
OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,SI_378,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_429,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_430,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_431,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_432,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_433,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_434,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_435,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_436,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_437,,
PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,SI_438,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_595,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_596,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_597,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_598,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_599,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_600,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_601,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_602,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_603,,
DH_2022_general,Drayton Harbor,2022,flipbags,bubble snail,SI_604,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_605,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_606,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_607,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_608,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_609,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_610,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_611,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_612,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_613,,
DH_2022_general,Drayton Harbor,2022,eelgrass,bubble snail,SI_614,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam gut,SI_107b,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam gut,SI_108b,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam gut,SI_109b,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam gut,SI_110b,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam gut,SI_111b,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam gut,SI_128b,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam gut,SI_129b,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam gut,SI_12b,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam gut,SI_130b,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam gut,SI_131b,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam gut,SI_132b,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam gut,SI_13b,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam gut,SI_14b,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam gut,SI_15b,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam gut,SI_16b,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam gut,SI_92b,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam gut,SI_93b,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam gut,SI_94b,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam gut,SI_95b,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam gut,SI_96b,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam muscle,SI_107a,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam muscle,SI_108a,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam muscle,SI_109a,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam muscle,SI_110a,,
DH_2021_flipbags,Drayton Harbor,2021,flipbags,clam muscle,SI_111a,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam muscle,SI_128a,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam muscle,SI_129a,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam muscle,SI_12a,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam muscle,SI_130a,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam muscle,SI_131a,,
DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,clam muscle,SI_132a,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam muscle,SI_13a,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam muscle,SI_14a,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam muscle,SI_15a,,
OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,clam muscle,SI_16a,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam muscle,SI_92a,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam muscle,SI_93a,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam muscle,SI_94a,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam muscle,SI_95a,,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,clam muscle,SI_96a,,
DH_2021_general,Drayton Harbor,2021,general,dungeness claw,SI_141a,149,
DH_2021_general,Drayton Harbor,2021,general,dungeness claw,SI_142a,165,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness claw,SI_147a,105,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness claw,SI_148a,92,
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness claw,SI_149a,98,"stomach empty, no stomach sample"
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness claw,SI_150a,89,"stomach empty, no stomach sample"
PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,dungeness claw,SI_151a,79,
PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness claw,SI_166a,103,
PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness claw,SI_162a,90,
PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness claw,SI_163a,92,
PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness claw,SI_164a,83,
PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,dungeness claw,SI_165a,83,
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_165,150,#02 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_166,80,#03 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_167,75,#04 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_168,60,#05 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_169,155,#06 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_170,170,#07 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_171,80,#08 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_172,150,#09 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_173,160,#10 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_174,155,#11 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_175,135,#12 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_176,165,#13 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_177,165,#14 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_178,150,#15 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_180,65,#17 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_181,95,#18 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_182,85,#19 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_183,75,#20 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_184,70,#21 labeled on collection sheet and baggie
OCS_2022_general,Oyster Creek Samish,2022,general,dungeness crab,SI_185,80,#22 labeled on collection sheet and baggie
