,sampleID,sample.mass,d15N,d13C,Amt.N,per.N,Amt.C,per.C
1,SI_123,9,9.583090909,-13.94207977,-0.611979885,-0.067997765,-3.066046004,-0.340671778
2,SI_124,10,7.979090909,-15.12180279,-0.622136558,-0.062213656,13.24747917,1.324747917
3,SI_125,11,7.715090909,-10.14098827,-0.405022752,-0.03682025,24.88335736,2.262123396
4,SI_126,12,8.620090909,-13.73714069,-0.95181019,-0.079317516,0.875124179,0.072927015
5,SI_127,2,9.705090909,-15.55876618,-1.374327755,-0.687163878,-7.092917464,-3.546458732
6,SI_128a,3,10.74309091,-16.03325691,0.38600278,0.128667593,-0.024145462,-0.008048487
7,SI_128b,4,8.591090909,-17.85076528,4.819330471,1.204832618,27.13474773,6.783686933
8,SI_129a,5,11.32509091,-16.0748011,0.42674896,0.085349792,0.181399057,0.036279811
9,SI_129b,9,9.037090909,-18.07524809,4.922689547,0.546965505,29.25926855,3.251029839
10,SI_130a,10,11.02909091,-16.10532342,0.740769368,0.074076937,1.556775911,0.155677591
11,SI_130b,11,8.823090909,-17.86759205,5.346760486,0.486069135,28.05598699,2.550544271
12,SI_131a,12,10.55809091,-16.08491641,0.059913856,0.004992821,-1.341926307,-0.111827192
13,SI_131b,2,8.499090909,-18.06072504,4.738674544,2.369337272,27.10169435,13.55084718
14,SI_132a,3,11.21509091,-15.98256741,0.686879259,0.228959753,0.750431789,0.25014393
15,SI_132b,4,8.824090909,-17.31970612,4.913130326,1.228282581,23.69482116,5.923705291
16,SI_133a,5,10.42509091,-17.59881485,0.41754821,0.083509642,-0.989917711,-0.197983542
17,SI_133b,9,7.683090909,-19.12592325,4.62253001,0.513614446,27.7089265,3.078769611
18,SI_134a,10,11.10109091,-16.83291582,0.684130983,0.068413098,-0.305692961,-0.030569296
19,SI_134b,11,7.997090909,-18.51950192,4.615002123,0.419545648,28.41799076,2.583453706
20,SI_135a,12,9.495090909,-18.12641113,0.562848368,0.046904031,0.394860553,0.032905046
21,SI_135b,2,7.190090909,-19.50034887,4.620140204,2.310070102,31.92283655,15.96141827
22,SI_136a,3,10.53609091,-17.25363139,0.605625882,0.201875294,0.185951319,0.061983773
23,SI_136b,4,7.430090909,-18.52747662,5.184851181,1.296212795,30.56279883,7.640699709
24,SI_137a,5,11.12709091,-17.0347873,1.013924106,0.202784821,1.287994537,0.257598907
