sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_81,10.123,-10.1635591956251,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,amphipods,NA,picked off of marina
SI_98,9.47563636363637,-16.8459507945712,DH_2021_flipbags,Drayton Harbor,2021,flipbags,amphipods,NA,picked off marina
SI_127,9.705090909,-15.55876618,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,amphipods,NA,picked from marina
SI_138,9.51645454545455,-10.019534101616,PBR_2021_eelgrass,Padilla Bay Reserve,2021,eelgrass,amphipods,NA,picked from japonica
SI_140,10.2604545454545,-9.83743111757287,OCS_2021_clamnet,Oyster Creek Samish,2021,clamnet,amphipods,NA,picked from japonica
SI_448,9.857,-10.7159569354113,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,amphipods,NA,about 15 small to medium
SI_449,9.813,-11.7550200455401,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,amphipods,NA,about 5 large ones
SI_102,10.2836363636364,-14.6993357760234,DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,NA,NA
SI_103,10.3206363636364,-14.9351647812894,DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,NA,NA
SI_104,10.1016363636364,-14.4876254250276,DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,NA,NA
SI_105,10.0536363636364,-16.203478911763,DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,NA,NA
SI_106,10.6836363636364,-15.61019442656,DH_2021_flipbags,Drayton Harbor,2021,flipbags,bubble snail,NA,NA
SI_119,10.0082727272727,-11.8555389781317,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,NA,NA
SI_120,9.39527272727273,-14.0105065953872,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,NA,NA
SI_121,10.1362727272727,-12.8625231429433,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,NA,NA
SI_122,9.41227272727273,-13.2622566966916,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,NA,NA
SI_123,9.583090909,-13.94207977,DH_2021_eelgrass,Drayton Harbor,2021,eelgrass,bubble snail,NA,NA
SI_346,11.0605454545455,-11.9715522379792,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_347,10.9425454545455,-13.2580806086779,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_348,10.7905454545455,-10.3690413043231,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_349,11.2105454545455,-13.3258223346056,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_350,9.07354545454545,-11.1294971338098,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_351,11.0175454545455,-12.4386847216797,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_352,10.5485454545455,-11.454331974911,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_353,10.5065454545455,-12.4680443612803,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_354,10.7915454545455,-13.2019570598517,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_355,9.53054545454546,-12.2601894491137,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_356,10.7705454545455,-12.819727539019,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_357,10.4275454545455,-13.5893022864054,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_358,10.2345454545455,-15.1369843821067,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_359,9.04054545454546,-11.0905190837239,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_360,10.3985454545455,-12.9835027612199,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_361,10.2105454545455,-12.0547798434025,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_362,10.8315454545455,-12.5694035978125,OCS_2022_flipbags,Oyster Creek Samish,2022,flipbags,bubble snail,NA,NA
SI_363,9.07854545454546,-9.053766380153,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_364,10.6125454545455,-8.34840187038169,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_365,9.50654545454545,-13.9980610636611,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_366,9.36654545454546,-10.0000593270157,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_367,10.9905454545455,-9.5537452051307,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_368,10.3625454545455,-8.74970877894503,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_369,10.6575454545455,-9.59104578318756,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_370,10.1015454545455,-9.09704204716432,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_371,9.72254545454546,-10.2351655442882,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_372,11.1805454545455,-9.58233846846255,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_373,9.56954545454546,-9.81391477871464,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_374,9.26454545454546,-11.6708769713756,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_375,10.0525454545455,-8.02514355206407,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_376,9.75754545454546,-9.67310933944914,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_377,11.1105454545455,-9.12625818434728,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_378,9.60554545454545,-9.66499278225433,OCS_2022_eelgrass,Oyster Creek Samish,2022,eelgrass,bubble snail,NA,NA
SI_429,9.265,-8.37710861063133,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
SI_430,9.224,-8.68174386350806,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
SI_431,10.703,-12.2668308467494,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
SI_432,10.249,-11.968797886408,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
SI_433,10.511,-12.0908719135465,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
SI_434,9.357,-8.37216370850787,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,bubble snail,NA,NA
