sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SP_82,13.0706363636364,-12.7573201090397,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,50,"no oyster, dense eelgrass"
SP_83,13.6526363636364,-11.9609894782459,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,58,"no oyster, dense eelgrass"
SP_84,13.9126363636364,-12.8075812834685,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,60,"no oyster, dense eelgrass"
SP_85,13.4696363636364,-12.159680950267,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,61,"no oyster, dense eelgrass"
SP_86,13.2756363636364,-12.192219455577,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,50,"no oyster, dense eelgrass"
SP_100,14.1075454545455,-14.7087077590584,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,70,"bottom oyster, dense eelgrass  - fins on fish kind of torn up"
SP_101,14.4775454545455,-14.7428224319221,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,62,"bottom oyster, dense eelgrass"
SP_102,13.2685454545455,-15.1359816595175,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,57,"bottom oyster, dense eelgrass - guts very goopy during dissection"
SP_103,14.7825454545455,-13.3428612826401,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,58,"bottom oyster, dense eelgrass - fins torn, guts goopy"
SP_104,14.2505454545455,-12.507089366078599,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,65,"bottom oyster, dense eelgrass - guts goopy"
SP_110,13.9635454545455,-13.8695755920051,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,66,"no oyster, no eelgrass - guts goopy"
SP_111,13.3711818181818,-14.5761881024934,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,53,"no oyster, no eelgrass - guts goopy"
SP_112,14.2561818181818,-15.0283730033376,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,73,"no oyster, no eelgrass - guts goopy"
SP_113,13.5231818181818,-13.2092063932805,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,58,"no oyster, no eelgrass - guts goopy"
SP_114,13.3741818181818,-13.977772294495,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,55,"no oyster, no eelgrass - guts goopy"
SP_177,13.3464444444444,-14.1692063316777,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,52,gut in bad condition
SP_178,13.7544444444444,-13.6335674647288,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,60,gut in bad condition
SP_179,13.2884444444444,-15.353397097306,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,56,NA
SP_180,13.6424444444444,-13.9699259164413,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,49,NA
SP_181,14.6754444444444,-12.2139041865408,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,80,NA
SP_182,13.4224444444444,-13.6414413420684,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,60,NA
SP_183,14.2764444444444,-12.535263781245,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,54,NA
SP_184,14.3654444444444,-14.2926444035711,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,55,NA
SP_185,13.7694444444444,-13.3536445090476,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,62,NA
SP_186,13.6384444444444,-15.5004783622994,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,55,NA
SP_187,13.6834444444444,-13.2854096056153,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,54,NA
SP_188,14.1594444444444,-12.5922347963829,OCS_2021_general,Oyster Creek Samish,2021,general,shiner perch,77,NA
SI_198,14.7838181818182,-11.2916823876034,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,115,NA
SI_548,13.1863636363636,-13.6114327713365,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,55,NA
SI_549,13.6113636363636,-14.5019805261232,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,40,NA
SI_550,13.8343636363636,-13.0083467253681,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,43,NA
SI_551,13.7313636363636,-14.6392018742199,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,53,NA
SI_552,13.8483636363636,-13.4668995666256,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,50,NA
SI_553,13.7293636363636,-14.2975724731718,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,50,NA
SI_554,13.4353636363636,-15.0837964712777,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,50,NA
SI_555,13.6283636363636,-13.7249119094256,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,57,NA
SI_556,13.4713636363636,-13.6494458169666,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,52,NA
SI_557,13.4613636363636,-14.1861673979293,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,48,NA
SI_558,13.6743636363636,-13.7891297875177,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,49,NA
SI_559,13.4013636363636,-14.4493319381459,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,55,NA
SI_560,13.3513636363636,-14.0405019249698,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,50,NA
SI_561,13.4473636363636,-14.1546448269014,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,57,NA
SI_562,16.2643636363636,-14.0578086512129,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,53,NA
SI_564,13.4323636363636,-14.2245303926473,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,47,NA
SI_565,13.8353636363636,-14.4239948613744,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,48,NA
SI_566,13.9843636363636,-11.8701921735507,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,47,NA
SI_567,14.2343636363636,-13.1693359110607,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,95,NA
SI_568,13.6173636363636,-14.9641795366097,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,90,NA
SI_569,14.0843636363636,-12.4744013487309,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,92,NA
SI_570,14.1453636363636,-13.9528041061059,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,91,NA
SI_571,14.3553636363636,-11.8930640769591,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,91,NA
SI_572,13.8723636363636,-13.3777824842781,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,90,NA
SI_573,14.4751818181818,-11.915743293291,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,87,NA
SI_574,13.7051818181818,-13.0230420832743,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,107,NA
SI_575,13.8101818181818,-14.0142374487263,OCS_2022_general,Oyster Creek Samish,2022,general,shiner perch,84,NA
