sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SI_152,14.3214545454545,-9.40489592559291,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,shiner perch,78,NA
SI_153,14.5464545454545,-12.5341107471247,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,shiner perch,76,NA
SI_154,14.2444545454545,-12.641179939986,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,shiner perch,75,NA
SI_155,14.5626363636364,-13.2100048481885,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,shiner perch,78,NA
SI_156,14.3976363636364,-12.9765937214473,PBR_2020_eelgrass,Padilla Bay Reserve,2020,eelgrass,shiner perch,78,NA
SI_456,15.6871818181818,-12.058205022650199,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,33,NA
SI_457,14.4071818181818,-12.3162143787619,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,45,NA
SI_458,13.3991818181818,-11.5787281500052,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,47,NA
SI_459,13.7761818181818,-12.9161763268773,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,47,NA
SI_460,13.3891818181818,-13.4427173117904,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,52,NA
SI_461,13.7081818181818,-12.2929561764185,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,56,NA
SI_462,14.5011818181818,-13.2372952155663,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,38,NA
SI_463,14.0861818181818,-12.5013552598613,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,50,NA
SI_464,14.0961818181818,-13.8535957778732,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,55,NA
SI_465,13.7871818181818,-12.1418678710392,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,47,NA
SI_466,13.9161818181818,-12.5668365286661,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,43,NA
SI_467,13.7131818181818,-11.6420180883169,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,47,NA
SI_468,13.9911818181818,-13.3261701882486,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,52,NA
SI_469,13.6681818181818,-12.6247423869813,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,53,NA
SI_470,13.8871818181818,-11.0938300955478,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,50,NA
SI_471,13.9621818181818,-12.3380677638296,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,59,NA
SI_472,14.0011818181818,-11.5491229509334,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,40,NA
SI_473,13.6781818181818,-12.2079791463497,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,50,NA
SI_474,14.2251818181818,-12.2534069053202,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,41,NA
SI_475,14.0981818181818,-12.7883769286309,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,44,NA
SI_476,14.1096363636364,-10.3063606852433,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,36,NA
SI_477,14.7086363636364,-10.3777123041933,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,85,NA
SI_478,14.3586363636364,-11.2320435702421,PBR_2022_eelgrass,Padilla Bay Reserve,2022,eelgrass,shiner perch,98,NA
