sampleID,d15N,d13C,sampling_id,location,year,habitat_type,sample_category,length_mm,notes
SS_77,14.0646363636364,-11.6565232838723,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,102,"bottom oyster, sparse eelgrass"
SS_78,13.5756363636364,-12.2955901094343,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,119,"bottom oyster, sparse eelgrass"
SS_79,13.3776363636364,-13.4777356810725,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,102,"bottom oyster, sparse eelgrass"
SS_80,14.1486363636364,-12.8264959124517,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,113,"bottom oyster, sparse eelgrass"
SS_81,13.6436363636364,-11.5497423114384,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,76,"bottom oyster, sparse eelgrass"
SS_87,14.1445454545455,-12.1058214918226,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,72,"no oyster, dense eelgrass"
SS_88,14.3465454545455,-11.5763875254551,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,94,"no oyster, dense eelgrass"
SS_89,14.1315454545455,-11.9588073067649,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,105,"no oyster, dense eelgrass"
SS_90,14.1545454545455,-11.3408353454148,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,109,"no oyster, dense eelgrass"
SS_91,14.2155454545455,-13.3021258069696,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,116,"no oyster, dense eelgrass"
SS_92,14.1135454545455,-11.2505684965534,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,91,"bottom oyster, no eelgrass"
SS_93,14.0385454545455,-12.496775200594,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,75,"bottom oyster, no eelgrass"
SS_94,13.9175454545455,-12.8231594358462,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,82,"bottom oyster, no eelgrass"
SS_95,13.5625454545455,-12.8913863030201,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,80,"bottom oyster, no eelgrass"
SS_96,13.2505454545455,-13.3660698454721,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,103,"bottom oyster, no eelgrass"
SS_97,14.6865454545455,-12.6419331113682,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,78,"bottom oyster, dense eelgrass"
SS_98,14.3015454545455,-11.5112724937136,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,105,"bottom oyster, dense eelgrass"
SS_99,14.2325454545455,-14.4927907680826,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,123,"bottom oyster, dense eelgrass"
SS_105,14.7335454545455,-13.3372545800024,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,79,"no oyster, no eelgrass"
SS_106,14.7075454545455,-11.6667697930835,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,72,"no oyster, no eelgrass"
SS_107,14.3585454545455,-12.7626332090517,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,79,"no oyster, no eelgrass (tissue samples left in cooler overnight, cold but not frozen)"
SS_108,14.7325454545455,-11.2685975488396,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,80,"no oyster, no eelgrass (tissue samples left in cooler overnight, cold but not frozen)"
SS_109,14.6515454545455,-12.2049095994505,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,98,"no oyster, no eelgrass"
SS_192,14.7814444444444,-12.1744250876413,OCS_2021_general,Oyster Creek Samish,2021,general,staghorn sculpin,100,NA
SI_267,13.9773636363636,-13.1272090729937,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,86,NA
SI_268,14.3593636363636,-11.4723376811918,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,98,NA
SI_269,13.4353636363636,-13.4203829955556,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,83,NA
SI_270,13.3633636363636,-12.4472620082388,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,81,NA
SI_271,14.0243636363636,-12.3120561529392,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,78,NA
SI_272,14.3163636363636,-12.6764440784741,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,70,NA
SI_273,13.2283636363636,-13.772285437679,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,65,NA
SI_274,13.0953636363636,-13.7747527710313,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,73,NA
SI_275,14.0753636363636,-12.8126224281983,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,71,NA
SI_276,13.7153636363636,-12.493017707839,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,80,NA
SI_277,13.8423636363636,-11.5360843786443,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,65,NA
SI_278,13.6793636363636,-12.2947775136293,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,55,NA
SI_279,13.1863636363636,-14.3701447609087,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,54,NA
SI_280,13.3833636363636,-12.5002093219249,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,58,NA
SI_281,14.0813636363636,-11.3795697385281,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,53,NA
SI_282,12.8453636363636,-13.3242899933632,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,53,NA
SI_283,13.7133636363636,-12.6300234115817,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,53,NA
SI_284,13.4777272727273,-13.0191964154316,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,40,NA
SI_285,13.7547272727273,-12.9046418939912,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,41,NA
SI_286,13.6417272727273,-12.9594104300379,OCS_2022_general,Oyster Creek Samish,2022,general,staghorn sculpin,49,NA
